"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
-1.847184777259827,-6.000641345977783,-1.682323813438416,22.0,0.0,19711.0,6.5,740373061.0,740373061.0
-20.0108470916748,-64.965576171875,1.186554193496704,52.0,1.0,19712.0,67.988,740373064.0,740373064.0
-2.151863574981689,-6.981732368469238,-1.686683058738708,14.0,2.0,19713.0,7.498,740373066.0,740373066.0
-2.502383708953857,-8.113965034484863,-1.650497794151306,0.0,4.0,19714.0,8.65,740373071.0,740373071.0
-2.511942386627197,-8.13487434387207,-1.348465085029602,30.0,6.0,19716.0,8.620000000000001,740373075.0,740373075.0
-19.22890281677246,-62.23388290405273,7.99779748916626,22.0,7.0,19717.0,65.626,740373077.0,740373077.0
-2.521873235702515,-8.15693473815918,-1.048320055007935,2.0,8.0,19718.0,8.602,740373080.0,740373080.0
-2.56142520904541,-8.279743194580078,-0.7582549452781677,2.0,10.0,19719.0,8.700000000000001,740373084.0,740373084.0
-7.798616409301758,-25.17770195007324,-1.381355285644531,9.0,12.0,19721.0,26.394,740373089.0,740373089.0
-15.74343681335449,-50.76471710205078,-0.9277350306510925,10.0,14.0,19723.0,53.158,740373094.0,740373094.0
-1.872718095779419,-6.008911609649658,-1.686464905738831,22.0,0.0,19731.0,6.516,740373117.0,740373117.0
-2.179704189300537,-6.985340118408203,-1.689382433891296,15.0,2.0,19733.0,7.51,740373121.0,740373121.0
-2.533031940460205,-8.112676620483398,-1.652024269104004,0.0,4.0,19734.0,8.658,740373126.0,740373126.0
-2.54621696472168,-8.14491081237793,-1.351593732833862,41.0,6.0,19736.0,8.64,740373130.0,740373130.0
-19.28008651733398,-61.63590621948242,7.929550647735596,22.0,7.0,19737.0,65.066,740373133.0,740373133.0
-2.552109718322754,-8.153765678405762,-1.049051284790039,3.0,8.0,19738.0,8.608,740373135.0,740373135.0
-2.568874359130859,-8.202303886413574,-0.7519797682762146,2.0,10.0,19739.0,8.628,740373140.0,740373140.0
-7.934263229370117,-25.30278778076172,-1.389729022979736,10.0,12.0,19741.0,26.554,740373144.0,740373144.0
-16.02237129211426,-51.03379058837891,-0.933668851852417,11.0,14.0,19743.0,53.498,740373149.0,740373149.0
-1.893681764602661,-6.00233793258667,-1.686464905738831,24.0,0.0,19751.0,6.516,740373172.0,740373172.0
-2.207596063613892,-6.988838195800781,-1.692081809043884,15.0,2.0,19753.0,7.522,740373177.0,740373177.0
